,!=,(,),*,+,++,",",-,--,.,:,:=,;,<,<=,=,==,>,>=,chiqap,chiqaq,chiqi,hatun_ruray,id,imprimiy,kutipay,mana,mana_chiqaq,mana_sichus,num,para,qillqa,ruray,sichus,texto,utaq,var,wan,yupay,{,},$
termino_tail,,,,* factor termino_tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MasArgumentosFuncion,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,", opciones MasArgumentosFuncion",epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
OPERADOR_LOGICO_MANA,,,,,,,,,,,,,,,,,,,,,,,,,,,mana,,,,,,,,,,,,,,,
incrementos,IDENTIFICADOR_TOKEN --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParamListOpt,ParamList,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
CHIQAP_TOKEN,,,,,,,,,,,,,,,,,,,,,chiqaq,,,,,,,mana_chiqaq,,,,,,,,,,,,,,
TypeOpt,Type,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
Param,Type : IDENTIFICADOR_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
funcion,IDENTIFICADOR_TOKEN ( argumentosFuncion ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MasArgumentosPrint,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,", opciones MasArgumentosPrint",epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
